word,meaning,synonym1,synonym2,antonym1,antonym2,example_sentence
mundane,ordinary and unexciting,ordinary,dull,exciting,extraordinary,She longed to escape her mundane daily routine.
munificence,the quality of being extremely generous,generosity,benevolence,stinginess,meanness,The munificence of the donor helped build the new library.
muted,quiet or subdued,soft,subdued,loud,vibrant,The muted colours of the painting created a peaceful atmosphere.
mutual,experienced or done by both parties,shared,reciprocal,one-sided,unilateral,They had a mutual respect for each other's opinions.
naive,lacking experience or worldly wisdom,innocent,gullible,sophisticated,worldly,She was naive to believe everything she was told.
naivete,lack of experience or sophistication,innocence,simplicity,sophistication,worldliness,Her naivete about the world was both charming and concerning.
narrative,a story or account,story,account,silence,void,The narrative follows a young hero's journey.
nauseam,to a sickening or excessive degree,excessively,endlessly,briefly,moderately,He repeated the same story ad nauseam until everyone was bored.
nauseating,causing nausea or disgust,sickening,disgusting,pleasant,appealing,The nauseating smell from the rubbish bin made her feel ill.
nauseous,feeling sick or queasy,sick,queasy,well,healthy,The bumpy car ride made her feel nauseous.
nefarious,wicked or criminal,wicked,evil,virtuous,honourable,The villain had a nefarious plan to steal the crown jewels.
negate,to make ineffective or nullify,nullify,cancel,confirm,validate,The new evidence seemed to negate the previous theory.
negotiate,to discuss to reach an agreement,discuss,bargain,demand,dictate,They began to negotiate a peace agreement.
nemesis,a long-standing rival or enemy,rival,enemy,ally,friend,The detective finally caught his nemesis after years of pursuit.
nobility,the quality of being noble in character,honour,dignity,baseness,dishonour,She showed great nobility in forgiving those who had wronged her.
nominal,very small or in name only,minimal,token,significant,actual,There is only a nominal fee for admission.
nonchalant,calmly unconcerned,casual,indifferent,concerned,worried,He seemed nonchalant about the difficult exam.
nonentity,a person or thing with no special significance,nobody,nobody,celebrity,important person,He felt like a nonentity in the large company.
nonplussed,so surprised or confused that one is unsure how to react,bewildered,confused,composed,calm,She was nonplussed by his unexpected question.
nostalgia,longing for the past,homesickness,yearning,indifference,detachment,Looking at old photos filled her with nostalgia.
noteworthy,worthy of attention or notice,notable,remarkable,ordinary,unremarkable,His achievement was particularly noteworthy given his age.
notoriety,the state of being famous for something bad,infamy,disrepute,fame,honour,The criminal gained notoriety for his daring escapes.
nouveau-riche,a person who has recently become rich,newly rich,upstart,old money,aristocrat,The nouveau-riche family tried to fit in with the established elite.
novelty,the quality of being new or unusual,newness,originality,familiarity,tradition,The novelty of the new toy wore off quickly.
novice,a beginner,beginner,learner,expert,veteran,The novice made several mistakes on her first day.
nuance,a subtle difference,subtlety,shade,obviousness,clarity,The actor captured every nuance of the character.
nullify,to make legally null and void,cancel,invalidate,validate,confirm,The court decided to nullify the unfair contract.
nurseryman,a person who grows and sells plants,gardener,horticulturist,customer,buyer,The nurseryman helped us choose the best plants for our garden.
obdurate,stubbornly refusing to change one's opinion,stubborn,inflexible,flexible,yielding,"Despite the evidence, he remained obdurate in his beliefs."
obedient,willing to follow orders,compliant,dutiful,disobedient,rebellious,The obedient dog followed every command.
obfuscate,to make something unclear or difficult to understand,confuse,obscure,clarify,explain,The politician tried to obfuscate the truth with complicated language.
obligatory,required by rule,compulsory,mandatory,optional,voluntary,Wearing a helmet is obligatory when cycling.
obliterate,to destroy completely,destroy,erase,create,preserve,The explosion obliterated the old building.
oblivion,the state of being forgotten or unknown,obscurity,forgetfulness,fame,memory,The old building fell into oblivion after it was abandoned.
oblivious,unaware of surroundings,unaware,ignorant,aware,conscious,She was oblivious to the noise around her.
oblong,"having an elongated shape, longer than it is wide",rectangular,elongated,square,round,The oblong table could seat more people than a square one.
obnoxious,extremely unpleasant,horrible,offensive,pleasant,delightful,His obnoxious behaviour annoyed everyone.
obsequious,obedient or attentive to an excessive degree,servile,submissive,independent,assertive,The obsequious assistant agreed with everything his boss said.
obsessive,preoccupied with something to an unhealthy degree,compulsive,fixated,relaxed,casual,His obsessive behaviour about cleanliness worried his family.
obstreperous,noisy and difficult to control,unruly,disorderly,quiet,well-behaved,The obstreperous children disrupted the entire class.
obtuse,slow to understand,dull,slow,sharp,quick,He seemed obtuse and missed the obvious clues.
officious,asserting authority in an annoyingly domineering way,bossy,interfering,helpful,unobtrusive,The officious security guard kept telling everyone what to do.
ominous,giving a worrying sign that trouble is coming,threatening,sinister,promising,reassuring,The ominous dark clouds warned of a storm.
omit,to leave out,exclude,skip,include,add,Please do not omit any important details.
omnivore,an animal that eats both plants and meat,general eater,mixed feeder,herbivore,carnivore,"Humans are omnivores, able to digest both vegetables and meat."
onerous,involving a great deal of effort or difficulty,burdensome,difficult,easy,light,The onerous task of cleaning the entire house took all day.
onomatopoeia,the formation of a word from a sound associated with what is named,sound word,echoic,abstract word,non-echoic,"Words like ""buzz"" and ""hiss"" are examples of onomatopoeia."
opaque,not transparent,cloudy,murky,transparent,clear,The opaque glass provided privacy.
operandi,a particular way of doing something,method,procedure,chaos,disorder,The detective studied the criminal's modus operandi carefully.
opportunist,a person who takes advantage of opportunities as they arise,exploiter,self-seeker,altruist,idealist,The opportunist quickly took advantage of the situation.
optimal,best or most favourable,ideal,best,worst,poor,The optimal time to plant seeds is in the spring.
optimist,a person who tends to be hopeful and confident,hopeful person,positive thinker,pessimist,cynic,"Even in difficult times, the optimist remained cheerful."
optional,available to be chosen but not compulsory,voluntary,elective,compulsory,mandatory,"The school trip was optional, so not everyone attended."
opulence,great wealth or luxuriousness,luxury,wealth,poverty,simplicity,The opulence of the palace amazed all the visitors.
orator,a skilled public speaker,speaker,rhetorician,listener,audience,The famous orator inspired the crowd with his powerful speech.
ordained,made official or established by authority,appointed,authorised,unauthorised,unofficial,The new law was ordained by the government last month.
ordeal,a difficult painful experience,trial,hardship,pleasure,ease,The journey through the storm was a terrible ordeal.
